Show,,Status,Renewal,TVSeason,Network,Season,Episode,AirDay,AirTime,AirDayInitial,AirTimeInitial,AirDayTimeInitial,ChangeAirDayTime,Debut on Different Day,Premier Date,Finale Date,DaysfromTVSeasonPremiere,SeasonDays,18to49_Avg,18to49_Premiere,18to49_Max,18to49_Min,18to49_YrtoYrChange,18to49_LossGainPremiere,18to49_%DropPremiere,Total_Avg,Total_Premiere,Total_Max,Total_Min,Total_YrtoYrChange,Total_LossGainPremiere,Total_%DropPremiere,18to49_1,18to49_2,18to49_3,18to49_4,18to49_5,18to49_6,18to49_7,18to49_8,18to49_9,18to49_10,18to49_11,18to49_12,18to49_13,18to49_14,18to49_15,18to49_16,18to49_17,18to49_18,18to49_19,18to49_20,18to49_21,18to49_22,18to49_23,18to49_24,18to49_25,Average per Episode,Loss/Gain,%Drop,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19,Total_20,Total_21,Total_22,Total_23,Total_24,Total_25,Average per Episode,Loss/Gain,%Drop
911,9112017,Renewed,1,2017,FOX,1,10,Wed,9:00 PM,Wed,9:00 PM,Wed 9:00 PM,0,No,1/3/18,3/21/18,115,77,1.64,1.8,1.8,1.5,0,-0.16,0.0889,5.66,6.83,6.83,5.55,0,-1.17,0.1713,1.8,1.5,1.8,1.6,1.6,1.7,1.5,1.6,1.6,1.7,,,,,,,,,,,,,,,,1.64,-0.1,8.89,6.83,5.55,6.21,6.57,6.21,6.64,5.95,6.05,6.55,6.63,,,,,,,,,,,,,,,,6.32,-0.2,7.48
911,9112018,Renewed,1,2018,FOX,2,18,Mon,8:00 PM,Mon,8:00 PM,Mon 8:00 PM,0,Yes,9/23/18,5/13/19,14,232,1.36,2.6,2.6,1.1,-0.1721,-1.24,0.4769,7.49,9.83,9.83,5.15,-0.036,-2.34,0.238,2.6,1.6,1.5,1.4,1.4,1.3,1.4,1.2,1.2,1.4,1.2,1.2,1.3,1.1,1.2,1.1,1.1,1.3,,,,,,,,1.36,-1.3,47.65,9.83,6.6,6.09,5.92,5.88,5.6,5.63,5.59,5.15,6.15,5.96,5.66,6.16,5.65,5.99,5.49,5.81,6.44,,,,,,,,6.09,-3.39,38.06
24: Legacy,24: Legacy2016,Cancelled,0,2016,FOX,1,12,Mon,8:00 PM,Mon,8:00 PM,Mon 8:00 PM,0,Yes,2/5/17,4/17/17,170,71,1.4,6.1,6.1,0.8,0,-4.7,0.7705,8.98,17.58,17.58,3.2,0,-8.6,0.4892,6.1,1.5,1.2,1,1,0.9,1,0.8,0.9,0.8,0.8,0.8,,,,,,,,,,,,,,1.4,-5.3,77.05,17.58,6.23,5.14,4.42,3.99,3.8,3.9,3.3,3.23,3.2,3.3,3.42,,,,,,,,,,,,,,5.13,-14.16,70.84
9JKL,9JKL2017,Cancelled,0,2017,CBS,1,16,Mon,8:30 PM/9:30 PM,Mon,8:30 PM,Mon 8:30 PM,1,No,10/2/17,2/5/18,22,126,0.97,1.6,1.6,0.7,0,-0.63,0.3938,6.55,8.21,8.21,4.29,0,-1.66,0.2022,1.6,1.4,1.2,1.4,0.8,0.8,0.8,0.8,0.9,0.8,0.7,0.7,1,0.8,0.9,0.9,,,,,,,,,,0.97,-0.7,39.45,8.21,7.04,6.66,7.17,5.05,4.36,4.33,4.42,4.6,4.62,4.3,4.29,5.21,4.72,4.82,4.88,,,,,,,,,,5.29,-3.33,35.54
A Million Little Things,A Million Little Things2018,Renewed,1,2018,ABC,1,17,Wed/Thu,9:00 PM,Wed,9:00 PM,Wed 9:00 PM,1,No,9/26/18,2/28/19,17,155,0.91,1.1,1.1,0.7,0,-0.19,0.1727,4.54,5.07,5.52,3.17,0,-0.53,0.1045,1.1,0.8,0.8,0.8,0.8,0.8,0.7,0.8,0.7,0.7,1.1,1.1,1.1,1,1,1.1,1.1,,,,,,,,,0.91,0,17.11,5.07,3.79,3.66,3.33,3.49,3.31,3.23,3.47,3.17,3.37,5.52,5.41,5.29,5.25,4.93,5.25,5.26,,,,,,,,,4.28,0.19,15.54
A to Z,A to Z2014,Cancelled,0,2014,NBC,1,13,Thu,9:30 PM,Thu,9:30 PM,Thu 9:30 PM,0,No,10/2/14,1/22/15,16,112,0.75,1.2,1.2,0.4,0,-0.45,0.375,4.53,4.79,4.79,1.34,0,-0.26,0.0543,1.2,1,1,0.9,0.7,0.8,0.6,0.7,0.8,0.4,0.6,0.5,0.6,,,,,,,,,,,,,0.75,-0.6,37.18,4.79,3.63,3.37,3.13,2.49,2.74,2.35,2.44,2.49,1.34,2.5,1.73,2.09,,,,,,,,,,,,,2.7,-2.7,43.65
A.D. The Bible Continues,A.D. The Bible Continues2014,Cancelled,0,2014,NBC,1,12,Sun,9:00 PM,Sun,9:00 PM,Sun 9:00 PM,0,No,4/5/15,6/21/15,201,77,1.07,2.3,2.3,0.7,0,-1.23,0.5348,7.87,9.68,9.68,3.56,0,-1.81,0.187,2.3,1.7,1.2,1.1,1.1,0.9,0.8,0.7,0.9,0.7,0.7,0.7,,,,,,,,,,,,,,1.07,-1.6,53.62,9.68,7.75,6.36,5.77,5.47,4.53,4.8,4.24,4.74,4.09,3.99,3.56,,,,,,,,,,,,,,5.42,-6.12,44.06
A.P. Bio,A.P. Bio2017,Renewed,1,2017,NBC,1,13,Thu,8:30 PM,Thu,8:30 PM,Thu 8:30 PM,0,No,2/1/18,5/3/18,144,91,0.73,0.8,1.4,0.5,0,-0.07,0.0875,2.72,3.12,5.89,1.69,0,-0.4,0.1282,0.8,1.4,0.7,0.7,0.7,0.9,0.8,0.6,0.6,0.6,0.6,0.5,0.6,,,,,,,,,,,,,0.73,-0.2,8.65,3.12,5.89,2.6,2.7,2.33,3.07,2.84,2.05,2.21,2.05,1.83,1.69,2.03,,,,,,,,,,,,,2.65,-1.09,15.16
A.P. Bio,A.P. Bio2018,Cancelled/Revived,0,2018,NBC,2,11,Thu,9:00 PM,Thu,9:00 PM,Thu 9:00 PM,0,No,3/7/19,6/13/19,179,98,0.47,0.5,0.5,0.4,-0.3504,-0.03,0.06,1.95,1.88,2.33,1.6,-0.2903,0.07,-0.0372,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.4,,,,,,,,,,,,,,,0.47,-0.1,5.45,1.88,1.96,2.23,2.33,1.91,2.05,1.81,1.66,1.79,2.26,1.6,,,,,,,,,,,,,,,1.95,-0.28,-3.87
Abby's,Abby's2018,Cancelled,0,2018,NBC,1,10,Thu,9:00 PM,Thu,9:00 PM,Thu 9:00 PM,0,No,3/28/19,6/13/19,200,77,0.39,0.5,0.5,0.3,0,-0.11,0.22,2.97,2.6,2.6,1.23,0,0.37,-0.1423,0.5,0.5,0.4,0.4,0.3,0.4,0.4,0.4,0.3,0.3,,,,,,,,,,,,,,,,0.39,-0.2,22,2.6,2.06,1.64,1.53,1.47,1.49,1.4,1.56,1.46,1.23,,,,,,,,,,,,,,,,1.64,-1.37,36.77
